Book,ASIN,Section,Location,Highlight,Note
はじめての日本国債 (集英社新書),B0DSYC77DJ,,"1,003",リスク管理において面白い点は、在庫を有したまま、リスク量を落とす方法があることです。トレーダーである読者は国債を保有しているわけですが、その価格の動きに対し、まったく逆の動きをする資産があるとしましょう。この場合、両者を合算して持つことにより、自分が持っている資産全体の価格の動きを抑える（＝リスク量を減らす） ということが可能になります。 図表３－３がそのイメージですが、読者はトレーダーとして国債を保有しており、その価格は絶えず変化します。そこで、その逆の動きをする資産を保有することで、価格が変動しない状況を作ることができます。このような行為をリスクヘッジといいますが、ある資産価格と逆の動きをするポジションを作るために、金融派生商品（デリバティブ） と呼ばれる商品が用いられることが少なくありません。,
はじめての日本国債 (集英社新書),B0DSYC77DJ,,"2,508","このようにスワップは固定金利と変動金利の交換ですが、この変動金利として、現在は、無担保コール翌日物金利（TONA, Tokyo OverNight Average rate） と呼ばれる１営業日の金利が使われる傾向があります＊ 55。 ＴＯＮＡ とは金融機関の間で１営業日、無担保で貸し借りする金利であり、日銀の政策金利として用いられている金利です（詳細は次章で説明します）。",
はじめての日本国債 (集英社新書),B0DSYC77DJ,,"2,589",証券会社と固定金利を受け取るＢＯＪスワップを結ぶことを検討しているとします。仮にその際取引されているスワップ・レートが０・１５％であるとしましょう。この金利スワップを読者が受ける場合、読者は次回の決定会合後（８月１日） から、その次の決定会合（９月 20 日） までＴＯＮＡ（＝日銀の政策金利である点に注意） を毎営業日支払う一方で＊ 58、証券会社から０・１５％の固定金利を受け取ることになります。 ２０２４年７月時点で、日銀はＴＯＮＡが０％～０・１％で推移するように誘導をしており、実際にＴＯＮＡはおおよそ０・０８％程度で推移していました。したがって、もし日銀による利上げがなければ、再び、０・０８％程度で、８月以降も推移していくことが予測されます。読者としては、ＢＯＪスワップの取引をした場合、利上げがなければ、０・０８％程度の変動金利を支払い、０・１５％の固定金利を受け取るので、この取引は得だと感じられます。 しかし、７月の決定会合で、日銀が利上げをし、例えばＴＯＮＡが０・２５％に誘導されるとしたらどうでしょう。ＴＯＮＡが８月から０・２５％程度で推移していくとすれば、読者は、このＢＯＪスワップの取引で、固定金利は０・１５％しかもらえないのに、変動金利で０・２５％支払うことになり、これでは損をします。したがって、読者が利上げを予測するならば、０・２５％以上の固定金利（スワップ・レート） をもらえなければ、このＢＯＪスワップの取引に応じたくないはずです。,
はじめての日本国債 (集英社新書),B0DSYC77DJ,,"2,732",出口戦略」を可能にするためのツールとしての機能を重視したこともあります。日銀にとって短期金利のコントロールは非常に重要ですから、流動性以上に、出口戦略のために付利制度があると見ることもできます。 付利金利と裁定取引の話をしましたが、大切な点は、この裁定取引は付利金利（０・１％） に紐づいている点です。先ほどの裁定取引を思い出すと、銀行は付利金利である０・１％以下で借り入れをして（この貸し借りにより０・１％弱でＴＯＮＡが形成）、それを日銀当座預金に置いて０・１％の金利を得ます。この取引はあくまで付利金利を軸としていますから、付利金利が変われば、この裁定取引がなされる金利水準も変わります。例えば、付利金利が０・２５％になれば、銀行は０・２５％以下で借り入れをして（この貸し借りにより０・２５％弱でＴＯＮＡが形成）、日銀当座に預けて０・２５％を得るという裁定取引になります。付利金利とは日銀の当座預金に預ける際に日銀が払う金利ですから、日銀が付利金利を動かすことにより、上述の裁定取引における金利を動かすことで、ＴＯＮＡを誘導することが可能になります。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"1,008",モンゴル帝国は４０００㎞離れたロシアを征服できても、２００㎞の対馬海峡を越えて日本を征服することはできませんでした。ドイツは１５００㎞離れたロシアに２０００両の戦車を送れても、 30 ㎞のドーバー海峡の向こうのイギリスには１両の戦車も送れませんでした。そしてアメリカには、１機の飛行機さえ飛ばすことができませんでした。海を越えた侵略は、陸を越えた侵略よりもそれほど難しいのです。 海洋国家は防御有利、大陸国家は攻撃有利。この違いが、それぞれの行動原理を根本的に異なるものにします。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"1,026",大陸国家にとって最善の防御策は、領土拡大となります。領土拡大を通して他国を少しでも遠ざけることで、「戦略縦深」という名の人工的障壁を獲得するのです。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"1,107",この意味で、 大国と陸の国境を接しないことは、それ自体が強みといえます。 どんな国でも陸軍は必要ですが、その負担は陸の国境の有無で大きく異なります。つまり、 イギリスやアメリカのような海洋国家の強さを真に支えるのは「強い海軍」ではなく、「強い陸軍を必要としない環境」なのです。 アメリカが持つ最大の武器は海軍ではなく、「海そのもの」ともいえます。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"1,156",アメリカは、あまりにも強い「無敵の国」と思われがちですが、そうではありません。いくら最強の軍隊を持っていても、２つの大洋を越えて他国に攻め込むのは難しいものです。 第二次世界大戦後、アメリカは 29 回の戦争に参加しましたが、そのうち勝利したのは 17 回、引き分けは３回、敗北は９回でした。勝利したのは全体の６割だけで、決して「無敵」ではありません。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"1,293",中国が友好国でありながら北朝鮮の核開発を批判するのも、日本を潜在的に恐れているからです。北朝鮮が挑発的な行動を続ければ、日本人に強い危機感を抱かせ、専守防衛の理念や、核への嫌悪感という「蓋」を破らせてしまいかねません。こうした危機感から日本が核保有に踏み切れば、最も損をするのは中国です。同様に、日本の政治家が靖国神社に参拝するといった歴史問題に対して中国が敏感に反応するのも、戦前の軍国主義への反省という「蓋」が外れると、日本の軍拡を抑える力がまた１つなくなってしまうからです。この点でアメリカは、日本が単独で軍事行動を起こす能力と意志に歯止めをかけることで、中国をむしろ救ってきた面もあるのです。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"1,573",アメリカが対抗する理由は、中国がユーラシア大陸を制覇しかねないほど強い潜在覇権国だからです。アメリカを根底で動かしているのは、「大陸の勢力均衡を保たなければ生存できない」という防衛本能なのです。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"1,617",全人類の生活が均衡に達したとき、初めて幸福な世界が生まれる。均衡こそ自由の基礎である。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"2,052",ロシアの海洋進出を阻む地理的障壁はまだ２つ残っており、これは現代でも残っているロシアの弱点です。 第一の障壁は、戦略的に重要な海域が分散していること。 ロシアの海岸は北極海、バルト海、黒海、太平洋の４つに分かれています。 これの何が問題かといえば、海軍力を分散して配置しなければならないことです。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"2,071",第二の障壁が、外洋への出口が塞がれていることです。 ロシアの海岸は、北極海を除いてすべて内海に面しています。 内海とは、陸地に囲まれ、狭い海峡によってしか外洋と繫がっていない海のことです。バルト海、日本海、黒海はすべて内海の定義に当てはまります。例えば、バルト海から大西洋に出るためにはまずデンマーク海峡（カテガット海峡とスカゲラク海峡）を出た上で、イギリス海軍がうろつく北海とイギリス海峡も通過しなければなりません。 28 日本海から太平洋へ出るにしても、日本列島自体が蓋のように横たわっており、対馬海峡、津軽海峡、宗谷海峡のいずれかを必ず通らなければなりません。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"3,087",日本と大陸の交流をほぼ必ず媒介してきたのが、朝鮮半島です。朝鮮半島は、日本と大陸を結ぶ「橋」のような場所で、ここを通って大陸の文化や知識、技術などが日本に伝わってきました。戦争も例外ではありません。日本にとって、朝鮮半島は大陸勢力が日本を攻める通り道、または日本が大陸を攻める通り道として使われました。日本を「城」とすると、日本海が「水堀」の役割を果たし、朝鮮半島は城へと続く「橋」のようなものでした。このため、 日本にとって今も昔も最も重要な地政学的課題は、朝鮮半島を守ることなのです。 言い換えれば、大陸勢力に対する日本の防衛線は、朝鮮半島と日本海の二重となっており、日本は可能な限り大陸勢力の進軍を朝鮮半島で 堰き止め、それが突破されれば九州で上陸を防ぐことを目指してきました。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"3,239",実際、秀吉は最初の朝鮮出兵の際、「天皇を北京に移し、自分は明の港町・寧波 に住んで、いずれインドまで支配する」と宣言しました。 ６ 寧波を選んだのは、ここが日本やフィリピン、マカオ、シンガポール、インドなど、アジアのさまざまな国や地域と繫がる貿易の要衝だったからです。権力の象徴である北京ではなく、戦略的な要衝である寧波を選んだことは、秀吉が当時のアジアや世界の地理と地政学的状況をよく理解し、戦略的に考えていた 証 ともいえるでしょう。こうして秀吉は、東アジアへのヨーロッパ勢力の侵入を防ぎ、日本を守ろうとしていたのです。 この考え方は、後の明治時代や第二次世界大戦時の日本の大戦略、「大東亜共栄圏構想」にも似ています。 この構想では、欧米の勢力を東アジアから追い出し、日本が中心となってアジアをまとめることを目指していました。明治時代以降、日本が琉球、朝鮮、台湾を併合し、さらに中国や米領フィリピン、英領香港、シンガポール、インドへの影響を広げようとしたのは、まさに秀吉の構想に通じるものです。秀吉は、大東亜共栄圏を３００年も先取りしていたのです。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"3,295",一方で、ロシアなど大陸からの脅威を重視する人々もいました。彼らは日本も強力な陸軍を備え、大陸に進出する必要があると考えました。経済学者の佐藤信淵は『混同秘策』という著書の中で、「西洋が東アジアを支配する前に、日本が東アジアを制圧し、西洋の脅威に備えるべきだ」として、満州、台湾、寧波から中国全土を征服し、最終的には南京に天皇を移す、その後はフィリピンや南の島々まで制するという、豊臣秀吉を 彷彿 とさせる大胆な大陸進出論を唱えました。この発想は戦後、「１００年を隔てて、太平洋戦争方式と不気味なまでの類似性」があったと評されました。 ９ 吉田松陰も「満州を制圧し、その次にロシアと対峙し、朝鮮を取り戻そう。中国から目を離さず、南の島々を制し、インドにも侵攻しよう」と、大陸に緩衝地帯を得る重要性を訴えました。 10 その後約１００年間の日本の辿る道は、江戸時代にすでに構想されていたのです。,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"3,583",マハンは「ある国が海洋国家と大陸国家に同時になることはできない」,
あの国の本当の思惑を見抜く 地政学,B0DP2VK7RT,,"3,834",「相手も自分を恐れている」という視点が欠けると、「自分は正義で相手は悪だ」という結論に行き着きます。相手が真っ当な理由なく行動しているように見え、あるのは悪意だけのようにしか思えないからです。 スパイクマンは言いました。「世界を善人と悪人に分けることはできない」と。 １ どんな国にも弱みがあり、その弱みを突かれることを恐れます。「,
東京の謎（ミステリー）　この街をつくった先駆者たち (文春新書),B09G2VF11M,,699,庭園は「深川親睦園」という名前になった。現在の清澄庭園（江東区）である。弥太郎はここへ毎年、春と秋には社員を呼んで宴をひらいたというから要するに保養施設である,
東京の謎（ミステリー）　この街をつくった先駆者たち (文春新書),B09G2VF11M,,"2,384",その繁栄が永遠につづくものかどうか、未来はそれこそ誰にもわからないけれど、もしも今後、関東が──東京がと言いかえてもいい──首都の座をどこかに奪われることがあるとしたら、その原因はやはり土木にあるような気がする。,
イーロン・マスク　下 (文春e-book),B0C5QMX279,,470,だから、ロボットやレゴといったおもちゃからヒントを得ろと口を酸っぱくして言う。工場の現場では、レゴブロックの精度を機械工に語って聞かせる。誤差は 10 ミクロン以下。だからどのピースを組み合わせてもカチッとはまるのだ。車の部品もそうでなければならない。 「精度は金の問題じゃない。どこまで気を遣うかだ。精度を上げようと注意する気はあるか？ それさえあれば精度は上げられる」,
世界史を変えた薬 (講談社現代新書),B017GPG6XG,,261,１７４７年にリンドは、どの治療法が本当に有効であるのか調べるため、次のような試験を行なった。 12 人の壊血病患者を同じ場所に集め、毎日同じ食事を与えた。そして患者を２人ずつ６組に分け、それぞれにリンゴ果汁、硫酸塩溶液、酢、海水、ニンニクなどから作ったペースト、オレンジ２個とレモン１個を与えたのだ。また、症状を発したものの、通常の食事を続けた者もいたので、これも並行して観察を行なった。 結果は、わずか６日で出た。オレンジとレモンを与えられた兵士はほぼ完治、リンゴ果汁を飲んだ者はわずかに回復が見られたが、他の者は全く症状の改善が見られなかった。ここに、「柑橘類が壊血病の特効薬になる」という事実が、見事に証明されたのだ。 この実験は、現代の目からは当たり前にも映る。だが、他の条件をなるべく一定に揃え、比較対象群と共に実験を行なって、何が有効なのかをはっきりさせたリンドの手法は、全く画期的なものであった。現代の臨床試験はこの考え方を基礎としており、あらゆる医薬や医療器具などは、この試験をくぐったものだけが広く認められることになっている。 天才の着想というものは、その後一般に普及して当たり前になってしまい、後世から見るとその凄さがわからなくなることが少なくない。リンドの創出した「臨床試験」の考え方は、その典型的な例といえそうだ。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,106,このように、サブスクリプション型の大きな特徴は売り切り型と比べて圧倒的に乗り換えがしやすい（スイッチングコストが低い）ことです。乗り換えがしやすいということはインターネット以降のプロダクト・サービスの常識です。それは、収益性を保つ上で「一度買ってもらうこと」だけでなく、「長く使い続けてもらうこと」 が最優先課題になったということです。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,221,アイビー率いるデザイン部門のミッションは、 テクノロジーの気配を消して、ユーザーの生活空間と自然に共存できるプロダクトに仕上げること。そうしてこそ、最新技術であるＡＩが人々の生活や社会に浸透していくと。これぞまさに人間とテクノロジーをつなぐ、デザインの本質的役割です。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,426,企業活動の大動脈を担っているのがオペレーション人材であることは間違いありません。彼らがモノやサービスを作り、売っています。しかし、自分たちが会社を動かしているという意識が行き過ぎると、何か新しいことをしようとする人を軽視したり見下したりする風潮が強くなる。そうして時間の経過とともに、組織は変化を拒み硬直していきます。 「未来は変化の積分値」 という言葉があります。つまり、変化のない企業には未来がない。それが分かっていても、組織の硬直化は静かに進行します。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,467,イノベーションとは一言でいえば「新結合による価値創造とその社会浸透」のこと。新しい技術やソリューションを生み出すことも必要ですが、人々がそれに対して価値を感じ、社会的浸透に至るところまでいって、はじめてイノベーションと呼びます。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,472,に「価値創造」と「社会浸透」の２つが実現してはじめてイノベーションと呼べるものになります。スタートアップの世界に「Idea is cheap」という言葉があります。単なるアイデアマンはイノベーターとはいいません。 アイデアがあり、それを具現化して、なおかつ社会浸透まで実行してしまう人材のことを、イノベーターと呼びます。 では「価値創造」はどうやったら起きるか。その大半は、異種交配による新結合です。よく言われるゼロイチ（０から１を生み出す）という言葉の響きからは、独創的なアイデアが無から生まれるというイメージがつきまといますが、実際にはそういうパターンはほとんどありません。 多くのイノベーションは、以前から存在していたが、普段出会うことのない複数の要素が、独特の形で出会い、結合することで価値化するパターンです。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,485,ん。 ２つの領域を行ったり来たりする越境人材が、イノベーションの起点になることが多いのは、新結合がそのような人たちの脳内で自然に起こってしまうからです。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,643,太古の昔、あらゆる生物は海の中で暮らしていました。そのうち一部のチャレンジャーが海からの脱出を試みました。陸と海の両方で生存可能な両生類の誕生です。 海にも陸にもフィットしないといけない両生類は体の部品も多く、エネルギーも使うし、さぞかし不快な思いをしながら生きていたはずです。しかし、生物の進化の歴史を紐解くと、様々なバリエーションの種が多数発生したのがこの海と陸の境界線（エッジ）だったそうで、これをエッジ・エフェクトといいます。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,774,デザイン思考はしばしば「デザイナーのように考えるためのフレームワーク」と説明されますが、一般の方々にとってはそもそも「デザイナーのように」という表現が分かりづらく、なかなかその本質が伝わりにくい言葉でもあります。少々まどろっこしくいえば、デザイン思考とは、「ユーザーのリアルな課題・感情・体験といった人間中心の視点を、ビジネスやテクノロジーの現場に取り込むための体系的手法」 のことです。ＢＴＣトライアングルの中では、「課題解決のためのデザイン」の担い手であるＴＣ型のデザインエンジニアや、ＢＣ型のビジネスデザイナーたちが積極的に活用する手法でもあります。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,"1,024",① アイデアを最小限の時間で目に見える形にする「スケッチ」 ② あり合わせの素材を組み合わせて作る「ダーティプロトタイプ」 ③ テクノロジーの機能性を確認するための「テクニカルプロトタイプ」 ④ プロダクトの外観やスタイルを検証するための「コールドモックアップ」 ⑤ ほぼ製品と同じ機能性とルックスを実現した「ワーキングプロトタイプ」 ⑥ 現時点で実現不能なビジョンを示すための「ビジョンムービー」,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,"1,151",「ふせんトレーニング」でやることはごく単純で、次の３つを実行するだけです。 ① 赤・青・黄の３種類の小さいふせんを準備しましょう ② デザイン系の雑誌やデザインの写真集などを買ってきましょう ③ 自分がいいと思うものに「青」、ダメだと思うものに「赤」、どちらでもない、もしくは、よく分からないものに「黄」のふせんを貼りましょう,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,"1,190",それにセンスというものは自分と切り離されたどこかに「絶対的な正解」があるわけではないことも重ねて強調をしておきたい点です。突き詰めていけばそれは「好き嫌い」のことです。プロフェッショナルのデザイナーたちは、その「好き嫌い」を仕事のツールとして扱うレベルに至っているということなのです。 私たちが普段、ご飯を食べておいしいと感じたり、異性を見て惹かれたり、車を見て格好いいと思ったりするのも、乱暴にいえば、個人個人の中に何かしらのジャッジがあるからこそ。つまり、センスが全くない人は世の中にいないのです。 センスがないと感じるのは単に自分の好みが頭の中で整理できていないだけなのです。,
イノベーション・スキルセット～世界が求めるBTC型人材とその手引き,B07WRJ2C5Y,,"1,766",ＣＸＯに求められる資質は２つ、デザインに対する深い理解と、ビジネスパーソンや技術陣営とも渡り合えるコミュニケーション能力です。コミュニケーション能力の中でも特に重要なのが「言語化能力」 と「構造化能力」 です。企業の役員になるような人たちは基本的にロジカル思考で、ロジックできっちり説明されないと腹落ちしない人が多いからです。株主などのステークホルダーに対する説明責任もあります。,
世界はラテン語でできている (SB新書),B0CMQ1NDBL,,197,historiaが「階」を指すようになったかというと、元々の意味から派生して「キリスト教に関する“物語”の場面を描く彫刻が飾られるような、教会の一部分」という意味が新たに生まれたからです。英語のstoryが「階」を指すのはこのためです。,
世界はラテン語でできている (SB新書),B0CMQ1NDBL,,208,代表的なものが、「ウスター（Worcester）」や「マンチェスター（Manchester）」などの地名の後半にある-cesterや-chesterです。これらの語源はラテン語のcastrum「 城砦」で、つまり-cesterなどの要素が入っている地名は昔、ローマ兵が築いた城砦があったことを表しています。 さらには「チェスター（Chester）」という、その名もズバリな地名もあります。チェスターには、ローマ軍が残した城壁が現存しています。,
世界はラテン語でできている (SB新書),B0CMQ1NDBL,,347,ちなみに、古典ギリシャ語ではrの音は音声学の専門用語で言うと「 有声 歯茎 ふるえ音」という音なのですが、そのrでも語頭に立つ場合は「 無声 歯茎ふるえ音」になります。この無声歯茎ふるえ音を、ローマ人は古典ギリシャ語をラテン文字で表す際にrhと綴りました。 この語頭のrh-が英語のrhythm「リズム」、rheumatism「リウマチ」、rhapsody「 狂詩曲」、rhetoric「レトリック」、rhino「サイ」、rhombus「ひし形」、rhyme「 押韻」などの綴りに残っています。rh-で始まる英単語を見つけたら、ほぼ古典ギリシャ語からラテン語を経由した単語と考えていいでしょう。,
世界はラテン語でできている (SB新書),B0CMQ1NDBL,,368,このalはアラビア語の定冠詞（英語のtheのようなもの）で、アラビア語由来の英単語にもよく登場します。 一部の例を挙げるだけでもalchemy「錬金術」、alcohol「アルコール」、alcove「 壁龕」、宮殿の名前になっているAlhambra（アルハンブラ）、alkali「アルカリ」、almanac「年鑑」、星の名前ではAltair（アルタイル）やAldebaran（アルデバラン）などがあります。これらの語の多くはアラビア語から中世ラテン語を通じて英語に入ったものです。,
表参道のセレブ犬とカバーニャ要塞の野良犬 (文春文庫),B08KQ6MWXR,,"1,012",「キューバ人の葉巻の吸い方を教えてやる」と言われ、「まず葉巻のお尻の部分を歯で嚙み切って吐き出せ！」と言われたのでやってみる。,
表参道のセレブ犬とカバーニャ要塞の野良犬 (文春文庫),B08KQ6MWXR,,"2,253",ぼくは旅先でほぼ叶えられる可能性が無いであろう「では、また」が好きだ。 ぼくは絶対この先ふとした時にこの人のことを思い出すだろうから、その時用の「では、また」なのだ。,
表参道のセレブ犬とカバーニャ要塞の野良犬 (文春文庫),B08KQ6MWXR,,"2,333",人間は欲張りな生き物だ。 安定と安全を求めるくせに、それに飽きると不安定と危険が恋しくなる。 死にたくないけど生きてるって実感したい。 たまには瞳孔が開くことでもないとやってられないのである。,
表参道のセレブ犬とカバーニャ要塞の野良犬 (文春文庫),B08KQ6MWXR,,"2,437",この国は世間を信仰している。それが、俺が３カ国に行って感じた一番大きい他の国との違いだ。 この国で、生き辛い人とはどういう人のことだろうか？ 俺は、幼稚園の時にどうしてもみんなで「大きな栗の木の下で」を歌うのが嫌で、勝手に家に帰ってしまう子どもだった。小中高と集団行動が苦手で、でも単独行動が許されるような特別な才能は持ち合わせていなかった。ヤンキーにもナードにもなれなくて、クラスの一軍に気を使ってコソコソとし、でも仲間内では偉そうにしているような小狡い男だった。 この国で世間の空気を読まなくていい人間は、一目でわかるほどの圧倒的な何かを持っていなくてはならない。それを持っていないならば、多数派に身を寄せつつ自分のを把握して空気を読んでいればそう生き辛くはない。だがしかし、自分のを弁えず少数派の意見を貫こうとする時に、空気はもの凄い勢いで頭を揃えようとしてくる。圧倒的な何かを持っているか、圧倒的に空気が読めない鈍感さを持ち合わせていれば、やっていける。でも、少数派のくせに繊細で、出る杭のくせに打たれ弱くて、口が悪いのにナイーブで、それなのに多数派に賛同できなかったら、こんなに生き辛い国はない。そういう人間を世間は本当に放っておかない。 この国が世間を信仰するようになった理由が、農耕民族であったり、八百万の神であったり、島国であったり、村社会であったり、なんなのかはよくわからないが、とりあえずこの国の世間は一様を好むことは確かだ。異物や異端を受け入れる幅はかなり狭いと思う。家庭教師に戦後の日本の流れを教えてもらっていた時に、俺は世間と一億総中流は〝頭を揃える〟という特性上、相性が良かったのかもしれないと感じた。でも、この国の〝世間の信仰〟と新自由主義が生む〝格差と分断〟の… エクスポートの制限に達したため、一部のハイライトが非表示になっているか、省略されています。,
